id,name,category,price,brand,description,features,stock,rating
prod001,UltraBook Pro 15,Laptops,1299.99,TechMaster,High-performance laptop with Intel i7 processor; 16GB RAM; and 512GB SSD. Perfect for professional work and gaming.,15.6 inch FHD display; Intel Core i7-12700H; 16GB DDR5 RAM; 512GB NVMe SSD; NVIDIA RTX 3050,45,4.7
prod002,Gaming Beast X1,Laptops,1899.99,GamePro,Ultimate gaming laptop with RTX 4060 graphics and 32GB RAM. Dominate any game with stunning visuals.,17.3 inch 165Hz display; Intel Core i9-13900HX; 32GB DDR5 RAM; 1TB NVMe SSD; NVIDIA RTX 4060,23,4.9
prod003,Budget Office Notebook,Laptops,549.99,ValueTech,Affordable laptop for everyday tasks and office work. Reliable and efficient.,14 inch HD display; Intel Core i3-1115G4; 8GB DDR4 RAM; 256GB SSD,78,4.2
prod004,SilentSound Pro Wireless,Headphones,349.99,AudioElite,Premium wireless headphones with industry-leading active noise cancellation. Immersive audio experience.,Active Noise Cancellation; 30-hour battery; Bluetooth 5.3; Premium leather cushions,120,4.8
prod005,BassBoost Gaming Headset,Headphones,129.99,GamePro,Gaming headset with 7.1 surround sound and detachable microphone. Perfect for competitive gaming.,7.1 Surround Sound; Detachable noise-canceling mic; RGB lighting; Memory foam ear cups,95,4.5
prod006,Budget Earbuds Plus,Headphones,49.99,ValueTech,Affordable wireless earbuds with decent sound quality. Great for everyday use.,Bluetooth 5.0; 6-hour battery per charge; Touch controls; IPX4 water resistant,200,4.0
prod007,ProClick RGB Gaming Mouse,Accessories,79.99,GamePro,Professional gaming mouse with customizable RGB and 16000 DPI sensor.,16000 DPI optical sensor; 8 programmable buttons; RGB lighting; Ergonomic design,150,4.6
prod008,UltraWide 34-inch Monitor,Monitors,599.99,TechMaster,34-inch ultrawide curved monitor with QHD resolution. Perfect for productivity and gaming.,34 inch 3440x1440 curved display; 144Hz refresh rate; HDR10; USB-C connectivity,42,4.7
prod009,SmartWatch Fitness Pro,Wearables,249.99,FitTrack,Advanced fitness smartwatch with heart rate monitoring and GPS tracking.,Heart rate monitor; GPS; Sleep tracking; 7-day battery; Water resistant 5ATM,85,4.4
prod010,Wireless Keyboard & Mouse Combo,Accessories,89.99,TechMaster,Premium wireless keyboard and mouse combo for office productivity.,Wireless 2.4GHz; Quiet keys; Ergonomic design; Long battery life (12 months),130,4.3
